C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/20,08:00:17,0000000508773604,DEMAND,0000000508773604
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/03/20 08:00:00",7789,0,0,"2026/03/20 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/03/20 08:00:00",6216,0,0,"2026/03/20 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/03/20 08:00:00",1474,0,0,"2026/03/20 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/03/20 08:00:00",1050,0,0,"2026/03/20 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/03/20 08:00:00",5629,0,0,"2026/03/20 08:00:01"
C,"END OF REPORT",8
